id,accountName,accountCode,description,typeCode,accountType,typeName,productCat,addToDashboard,inactive,deleted,createdBy,createdAt,updatedBy,updatedAt
38,"Motor Running expenses",530020,"Motor Running expenses account",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
39,"Repairs and Maintenance",530040,"Repairs and Maintenance account",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
40,Rents,530060,"Rents account",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
41,Electricity,530080,"Electricity account",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
42,"Printing And Stationeries",530100,"Printing And Stationeries account",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
43,"Travelling and Accommodation",530120,"Travelling and Accommodation account",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
44,"Telephone and Postages",530140,"Telephone and Postages account",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
45,"Professional and Legal expenses",530160,"Professional and Legal expenses account",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
46,"Medical Expenses",530180,"Medical Expenses account",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
47,"Audit Fees",530200,"Audit Fees account",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
48,"Directors Emoluments",530220,"Directors Emoluments account",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
49,Donation,530240,"Donation account",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
50,"Bad Debts",530280,"Bad Debts account",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
51,"Bank Charges",530300,"Bank Charges account",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
52,"Audit Fees",530320,"Audit Fees expensesaccount",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
53,"Legal and Other Professional Fees",530340,"Legal and Other Professional Fees expenses account",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
54,"Depreciation Charge- Office Equiment",540000,"Depreciation Charge for Office Equiment",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
55,"Depreciation Charge- Motor Vehicle",540050,"Depreciation Charge for Motor Vehicle",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
56,"Depreciation Charge- Furniture & Fittings",540100,"Depreciation Charge for Furniture & Fittings",521,"Operating Expenses",operatingExpenses,,0,0,0,DEMO,,DEMO,
57,"Interest on Savings",412155,"Interest Income on bank account",421,"Other Income",otherIncome,,0,0,0,DEMO,,DEMO,
58,"Mainland Fixed Deposit",121600,"Mainland Fixed Deposit account",131,Bank,bank,,1,0,0,DEMO,,DEMO,
